ID,X,Y
1,64.43181302,50.37807858
2,37.86093827,48.95943387
3,81.15804583,87.70487234
4,53.28255888,35.31418129
5,35.07271036,44.94435566
6,93.9001562,96.35302868
7,87.59428115,4.229779791
8,55.01563429,97.29583341
9,62.2475086,18.92068431
10,58.70447045,66.71203
11,20.77422927,58.64396147
12,30.12463303,67.51124164
13,47.09233485,36.10220492
14,23.04881602,62.02784271
15,84.43087927,81.11508851
16,19.47642896,1.925747741
17,22.5921781,8.387350828
18,17.07080471,97.48016672
19,22.76642978,65.13495324
20,43.56986841,23.12378162
21,31.11022867,40.34911431
22,92.33796421,12.20205183
23,43.02073913,26.84388214
24,18.48163201,25.78461701
25,90.48809687,33.16652387
26,97.97483784,15.22340129
27,43.88699731,34.80076597
28,11.11192234,12.16584543
29,25.80646959,88.41530577
30,40.87198461,9.427839006
31,59.4896074,93.00406261
32,26.22117478,39.9019969
33,60.28430894,4.740146203
34,71.12157804,34.23735032
35,22.1746734,73.59661589
36,11.74176509,79.46821573
37,29.66758732,54.49058982
38,31.87783019,68.6223463
39,42.41667597,89.36326959
40,50.78582847,5.479178992
41,8.551579709,30.36613797
42,26.24822347,4.619155633
43,80.10146228,19.54767636
44,2.922027756,72.01658025
45,92.88541395,72.17532735
46,73.03308629,87.77990712
47,48.86089738,58.24329645
48,57.8525061,7.068433539
49,23.72835798,92.27445702
50,45.88488282,80.03720924
51,96.30885393,28.59468564
52,54.68057187,54.36632328
53,52.11358308,98.4776237
54,23.15943867,71.56780671
55,48.88977439,83.89695973
56,62.40600882,43.3260561
57,67.91355409,47.06247156
58,39.55152157,56.0713411
59,36.74366485,26.90915435
60,98.79820032,74.90184676
61,3.773886624,50.38877735
62,88.51680082,64.68096663
63,91.32868276,30.7745582
64,79.61838736,13.87246361
65,9.871227866,47.55729338
66,26.18711839,36.24592808
67,33.535684,78.81134284
68,67.97279514,78.02958208
69,13.65531374,66.85122143
70,72.12274986,13.35038597
71,10.67618616,2.15558872
72,65.37573487,55.98407059
73,49.41739366,30.08190181
74,77.90517232,93.94097139
75,71.50370784,98.0903636
76,90.37205606,28.66203889
77,89.09225043,80.0820287
78,33.41630527,89.61113514
79,69.87458323,59.75265768
80,19.78098267,88.40167357
81,3.05409463,94.37315412
82,74.40742604,54.91580874
83,50.00224356,72.83868246
84,47.99221411,57.67582979
85,90.47222381,2.585747108
86,60.98666484,44.65309783
87,61.76663896,64.63019574
88,85.94423056,52.12029527
89,80.54894245,37.23126608
90,57.67215156,93.71346663
91,18.29224694,82.95328245
92,23.99320106,84.908548
93,88.65119331,37.25342399
94,2.867415246,59.31845752
95,48.99013885,87.25525646
96,16.79271457,93.35016085
97,97.86806496,66.84642744
98,71.26944717,20.67764579
99,50.04716242,65.38505921
100,47.10883745,7.205155122
101,5.961886758,40.67269151
102,68.19719041,66.69315332
103,4.24311375,93.37256595
104,7.14454646,81.09500322
105,52.16498425,48.45482718
106,9.673002578,75.67492101
107,81.81485539,41.70474537
108,81.75470921,97.1785993
109,72.24395924,98.79747012
110,14.98654425,86.4147529
111,65.96052529,38.88837759
112,51.85949425,45.4741828
113,97.29745548,24.66871976
114,64.89914927,78.4423093
115,80.03305754,88.28376056
116,45.37977087,91.37116813
117,43.23915038,55.82849236
118,82.53137954,59.88681027
119,8.346981486,14.88767203
120,13.31710076,89.97134845
121,17.33886131,45.03935807
122,39.09378023,20.56723395
123,83.13797428,89.96509905
124,80.33643916,76.25855394
125,6.047117917,88.24863074
126,39.92577706,28.4950218
127,52.68758305,67.32259865
128,41.67994679,66.42799044
129,65.6859891,12.28149939
130,62.79733592,40.73184231
131,29.198408,27.52869513
132,43.16511702,71.66697406
133,1.548712564,28.33843816
134,98.40637244,89.61988568
135,16.71684099,82.65788923
136,10.62163449,39.00265128
137,37.24097401,49.7902943
138,19.81184025,69.48051927
139,48.9687638,83.43690011
140,33.94934134,60.96296897
141,95.16304648,57.47371609
142,92.03320398,32.60421709
143,5.267699768,45.64246009
144,73.78580955,71.37955832
145,26.91194264,88.44050453
146,42.2835615,72.08556708
147,54.78709012,1.861277473
148,94.27369843,67.47764671
149,41.77441043,43.85088242
150,98.30524665,43.78201792
151,30.14549487,11.70368195
152,70.10987559,81.46816895
153,66.63388516,32.48554386
154,53.9126465,24.62281142
155,69.81055202,34.27132211
156,66.65279134,37.569214
157,17.81324544,54.65537931
158,12.80143997,56.19201543
159,99.90803948,39.58222286
160,17.11210664,39.81308795
161,3.260082053,51.53672192
162,56.11997927,65.75305421
163,88.18665005,95.09151983
164,66.91753045,72.23485143
165,19.04332672,40.00797454
166,36.89165461,83.18713393
167,46.07259373,13.43383417
168,98.1637951,6.046677194
169,15.64049522,8.424705231
170,85.55228058,16.38983183
171,64.47645369,32.42199203
172,37.62722103,30.17267772
173,19.09236952,1.168099113
174,42.8252993,53.99050938
175,48.2022061,9.537269263
176,12.06116133,14.65148564
177,58.95074847,63.1141207
178,22.61876798,85.93204114
179,38.46191244,97.42216312
180,58.29863827,57.08384275
181,25.18061225,99.68502146
182,29.04406643,55.35415735
183,61.70908844,51.54584548
184,26.52809098,33.0682066
185,82.43762667,43.00017984
186,98.26633997,49.18062536
187,73.02487923,7.103708391
188,34.38770041,88.77392155
189,58.40693333,6.463359105
190,10.77690152,43.61849557
191,90.63081506,82.66295066
192,87.96537245,39.45346842
193,81.77605594,61.34748817
194,26.07279991,81.86407351
195,59.43562507,88.62350391
196,2.251259274,93.11116275
197,42.52593202,19.0784648
198,31.27188868,25.85822514
199,16.14847443,89.78656848
200,17.87661868,59.33618604
201,42.28856891,50.38400818
202,9.422933889,61.28095888
203,59.85236688,81.94222422
204,47.09242564,53.18891695
205,69.59493133,20.20750965
206,69.98878499,45.38934657
207,63.85307583,42.79109198
208,3.360383607,96.60527496
209,6.880609912,62.00550541
210,31.95997352,69.53899519
211,53.08642807,72.0164612
212,65.44457078,34.68951903
213,40.7619197,51.69904205
214,81.99812228,55.6694632
215,71.83589432,15.64952191
216,96.86493302,56.20560456
217,53.13339066,69.48032891
218,32.51456818,42.64555357
219,10.56292033,83.62704207
220,61.09586587,73.13870662
221,77.88022418,36.00310421
222,42.3452919,45.42123719
223,9.082328579,38.63898986
224,26.64714908,77.55546423
225,15.36567176,73.42711057
226,28.10053025,43.02778451
227,44.0085139,69.37525741
228,52.71427418,94.52134872
229,45.74243657,78.42325982
230,87.53715986,70.55718581
231,51.80521084,10.93342395
232,94.36226245,38.99306572
233,63.77090981,59.09047304
234,95.76939398,45.9380048
235,24.07070355,5.033998674
236,67.61223039,22.8687584
237,28.90645717,83.41890611
238,67.18081654,1.56446927
239,69.51404996,86.37108651
240,6.799276847,7.806905303
241,25.47901566,66.90425901
242,22.40400308,50.02113243
243,66.7832727,21.79937988
244,84.43921565,57.16157254
245,34.44624113,12.21891509
246,78.05196527,67.1166233
247,67.53320657,59.95855481
248,0.671531432,5.597615739
249,60.21704876,5.634301854
250,38.67711945,15.2500637
251,91.59912441,1.962106677
252,0.115105713,43.51755457
253,46.24491592,83.22214753
254,42.43490398,61.73901715
255,46.0916366,52.01294153
256,77.01597286,86.38682229
257,32.24718072,9.769791816
258,78.47392948,90.80522032
259,47.13571537,10.80166941
260,3.576273327,51.69967581
261,17.58744157,14.31560221
262,72.17580334,55.93705724
263,47.3485993,0.457962395
264,15.27212004,76.66819986
265,34.1124607,84.87092265
266,60.73892138,91.68212703
267,19.17452555,98.69682748
268,73.842684,50.51331018
269,24.28495983,27.14216244
270,91.7424342,10.07505119
271,26.90615867,50.78488308
272,76.55000166,58.56091257
273,18.86619768,76.28870959
274,28.74981731,8.296264911
275,9.111346369,66.15961931
276,57.62093807,51.69790147
277,68.33632433,17.10480175
278,54.65931146,93.85578643
279,42.57288419,59.04831771
280,64.44427814,44.06346808
281,64.76176302,94.19189303
282,67.90167541,65.59138203
283,63.57867105,45.19457093
284,94.51741131,83.96974207
285,20.89349224,53.26235025
286,70.92817027,55.38870658
287,23.6230577,68.00655301
288,11.93962478,36.71899053
289,60.73039407,23.92906062
290,45.0137697,57.89234925
291,45.87254936,86.68870547
292,66.19447519,40.67767602
293,77.02855148,11.2615141
294,35.02180134,44.38458367
295,66.20095984,30.01844012
296,41.615859,40.13868538
297,84.19291527,83.33635635
298,83.29168191,40.36286628
299,25.64409922,39.01759381
300,61.34607368,36.04488934
301,58.22491645,14.02553593
302,54.07393371,26.01301941
303,86.99410324,8.681510087
304,26.47790265,42.93973371
305,31.80740755,25.72827848
306,11.92145411,29.75553842
307,93.98294703,42.48584117
308,64.5551875,11.92072594
309,47.94632249,49.50669238
310,63.9316961,70.64072275
311,54.47161105,24.35733727
312,64.73114803,78.50700819
313,54.3885934,7.408957686
314,72.10466206,39.3883427
315,52.24953058,0.339412296
316,99.37046241,22.06768919
317,21.86766324,0.13005687
318,10.57982733,18.9179671
319,10.96974645,14.24840548
320,6.359137098,26.80759991
321,40.45799959,17.48920653
322,44.83729121,13.86489716
323,36.58161768,59.88856104
324,76.35046408,90.10579057
325,62.78963796,93.93797659
326,77.19803856,22.11844559
327,93.28535703,48.26713754
328,97.2740854,37.60111159
329,19.20283494,52.3780037
330,13.88742028,26.48725935
331,69.62663371,6.835722047
332,9.382002677,43.63270775
333,52.54044039,17.38530374
334,53.03442184,2.610710815
335,86.11398114,95.46782741
336,48.48533336,43.05965199
337,39.34563612,96.15585731
338,67.14311397,76.2414484
339,74.12579435,0.73486611
340,52.00524674,68.00386405
341,34.77126713,70.59507542
342,14.99972538,64.51287866
343,58.60920672,55.23098445
344,26.21453177,21.81087298
345,4.445409228,77.23662136
346,75.49332672,22.80283236
347,24.27853578,37.0864719
348,44.2402313,89.0928821
349,68.77960851,85.63769077
350,35.92282104,40.24335498
351,73.63400743,31.80191175
352,39.47074753,60.86354306
353,68.3415867,91.01952267
354,70.40474303,90.90981878
355,44.23054134,59.15944089
356,1.957762355,33.25714073
357,33.08578802,85.30636292
358,42.43094968,44.2397893
